Rank,Athlete,Age,Team,NOC,T,P(1934T),P(1985T)
1,Enrique Kistenmacher,25,Argentina,ARG,10.9,872,830
2,Ãrn Clausen,19,Iceland,ISL,11.1,814,786
3T,Peter Mullins,22,Australia,AUS,11.2,787,765
3T,Bob Mathias,17,United States,USA,11.2,787,765
3T,Floyd Simmons,25,United States,USA,11.2,787,765
6T,Ignace Heinrich,22,France,FRA,11.3,760,744
6T,Irving Mondschein,24,United States,USA,11.3,760,744
8,RenÃ© Kremer,23,Luxembourg,LUX,11.5,710,703
9T,HÃ©rcules Azcune,19,Uruguay,URU,11.6,686,683
9T,HernÃ¡n Figueroa,20,Chile,CHI,11.6,686,683
9T,Oto Rebula,26,Yugoslavia,YUG,11.6,686,683
9T,Erik Andersson,26,Sweden,SWE,11.6,686,683
9T,Eduardo Julve,24,Peru,PER,11.6,686,683
9T,Kjell TÃ¥nnander,21,Sweden,SWE,11.6,686,683
9T,Jacques CrÃ©taine,,France,FRA,11.6,686,683
9T,Lionel Fournier,31,Canada,CAN,11.6,686,683
17,Edward Adamczyk,26,Poland,POL,11.7,662,663
18T,Mario RecordÃ³n,26,Chile,CHI,11.8,640,643
18T,Sayed Moukhtar,,Egypt,EGY,11.8,640,643
18T,Baldev Singh,,India,IND,11.8,640,643
21T,Per Eriksson,23,Sweden,SWE,11.9,618,624
21T,Pierre SprÃ©cher,26,France,FRA,11.9,618,624
21T,Hannes Sonck,28,Finland,FIN,11.9,618,624
21T,Fritz Nussbaum,24,Switzerland,SUI,11.9,618,624
21T,YrjÃ¶ MÃ¤kelÃ¤,21,Finland,FIN,11.9,618,624
26,Oskar Gerber,,Switzerland,SUI,11.9,618,624
27T,Per Stavem,22,Norway,NOR,12,597,605
27T,WacÅaw KuÅºmicki,27,Poland,POL,12,597,605
27T,Albert Dayer,22,Belgium,BEL,12,597,605
30T,Witold Gerutto,35,Poland,POL,12.1,576,586
30T,Godtfred Holmvang,30,Norway,NOR,12.1,576,586
30T,Davorin MarÄelja,24,Yugoslavia,YUG,12.1,576,586
33,Josef Seger,,Liechtenstein,LIE,12.3,536,549
34,Armin Scheurer,30,Switzerland,SUI,12.5,499,513
35,Gebhard BÃ¼chel,27,Liechtenstein,LIE,12.7,464,478