Rank,Athlete,Age,Team,NOC,T(H),T(A),P(1952T),P(1985HT),
1,Milt Campbell,18,United States,USA,14.5,14.67,953,881,OB
2,Bob Mathias,21,United States,USA,14.7,14.91,894,857,
3,Floyd Simmons,29,United States,USA,15,15.26,813,821,
4,Hugues Frayer,29,France,FRA,15.4,15.65,716,774,
5,Geoff Elliott,21,Great Britain,GBR,15.7,15.88,652,740,
6T,Kjell TÃ¥nnander,25,Sweden,SWE,15.8,16.03,632,728,
6T,Fernando Fernandes,32,Portugal,POR,15.8,16.08,632,728,
6T,Vladimir Volkov,31,Soviet Union,URS,15.8,16.11,632,728,
9T,Friedel Schirmer,26,Germany,GER,16,16.28,593,706,
9T,Oto Rebula,30,Yugoslavia,YUG,16,16.4,593,706,
9T,Ignace Heinrich,26,France,FRA,16,0,593,706,
12T,Sepp Hipp,25,Germany,GER,16.1,16.24,575,695,
12T,GÃ¶ran Widenfelt,23,Sweden,SWE,16.1,16.32,575,695,
14,Erkki HautamÃ¤ki,21,Finland,FIN,16.3,16.5,540,673,
15T,HernÃ¡n Figueroa,24,Chile,CHI,16.4,16.66,523,662,
15T,HÃ©ctor RomÃ¡n,19,Puerto Rico,PUR,16.4,16.66,523,662,
15T,Sergey Kuznetsov,34,Soviet Union,URS,16.4,16.74,523,662,
15T,Max Wehrli,22,Switzerland,SUI,16.4,16.74,523,662,
19T,Bob Adams,27,Canada,CAN,16.6,16.81,489,641,
19T,BrÃ­gido Iriarte,31,Venezuela,VEN,16.6,0,489,641,
21,Reinaldo Oliver,20,Puerto Rico,PUR,16.7,0,473,631,
22,Eeles LandstrÃ¶m,20,Finland,FIN,17.1,0,413,589,
23,Olli Reikko,25,Finland,FIN,18.8,19.19,208,429,